Титов;Лазарь;Тестович;07.05.1995
Веселов;Анатолий;Тестович;05.10.1981
Турова;Ядвига;Тестовна;19.10.1988
Доронина;Лейла;Тестовна;29.11.1999
Тетерина;Кира;Тестовна;17.05.1971
Пономарёва;Тала;Тестовна;20.03.1974
Дементьев;Равиль;Тестович;21.01.1998
Кошелева;Венера;Тестовна;22.08.1970
Шарова;Джемма;Тестовна;09.04.1983
Фомин;Лавр;Тестович;02.02.1984
Потапова;Доля;Тестовна;01.02.1970
Фадеева;Милица;Тестовна;05.12.1983
Волков;Валерий;Тестович;16.07.1998
Дорофеева;Иршулья;Тестовна;13.02.1996
Савельев;Парфений;Тестович;16.03.1981
Селезнёв;Аполлон;Тестович;02.07.1979
Суханов;Гелиан;Тестович;26.04.1998
Дьячков;Рустам;Тестович;04.07.1970
Ефимова;Лидия;Тестовна;22.04.1986
Суханова;Зинаида;Тестовна;11.08.1978
Белоусова;Ада;Тестовна;01.12.1993
Рогов;Аристарх;Тестович;23.02.1975
Кузнецов;Протасий;Тестович;31.01.1988
Борисова;Чеслава;Тестовна;23.09.1992
Федосеев;Андрей;Тестович;02.03.1977
Воробьёв;Ермолай;Тестович;24.09.1978
Шубина;Вида;Тестовна;23.03.1979
Виноградов;Аркадий;Тестович;26.02.1997
Чернова;Мирдза;Тестовна;05.02.1996
Стрелков;Аполлон;Тестович;28.03.1989
Красильников;Ахмет;Тестович;10.03.1988
Мясникова;Софья;Тестовна;24.09.1977
Щербакова;Динара;Тестовна;20.08.1989
Новиков;Ромен;Тестович;26.01.1975
Князев;Гвидон;Тестович;25.01.1984
Петрова;Василиса;Тестовна;08.04.1996
Мартынова;Элла;Тестовна;22.07.1977
Голубева;Мариетта;Тестовна;25.07.1990
Ершова;Камилла;Тестовна;17.12.1974
Большаков;Николай;Тестович;04.11.1996
Ларионов;Андрей;Тестович;07.01.1995
Агафонова;Капитолина;Тестовна;21.06.1974
Макаров;Рихард;Тестович;21.04.1978
Попов;Арсений;Тестович;18.08.1996
Шубина;Христина;Тестовна;29.12.1999
Щербакова;Агния;Тестовна;02.11.1981
Аксёнова;Виолетта;Тестовна;12.10.1988
Лобанова;Тереза;Тестовна;27.05.1975
Савин;Ральф;Тестович;07.06.1991
Воронцов;Гермоген;Тестович;22.05.1985
